company_id,round_date,round_name,amount_usd
co_payatlas,2017-06-14,Seed,1472091
co_payatlas,2019-09-30,Series A,4462545
co_payatlas,2022-01-15,Series B,8537458
co_payatlas,2024-05-02,Series C,13527906
co_farmops,2020-08-12,Seed,2232457
co_farmops,2023-08-16,Series A,6767543
co_learnloop,2019-12-12,Seed,1736355
co_learnloop,2023-04-16,Series A,5263645
co_carbonledger,2019-04-14,Seed,1627508
co_carbonledger,2021-09-24,Series A,4933682
co_carbonledger,2024-03-06,Series B,9438809
co_talentmap,2019-09-12,Seed,1984406
co_talentmap,2023-03-01,Series A,6015594
co_homecare,2018-10-12,Seed,1322350
co_homecare,2021-05-25,Series A,4008617
co_homecare,2024-01-06,Series B,7669033
co_warehouseiq,2018-01-12,Seed,1932666
co_warehouseiq,2020-11-24,Series A,5858748
co_warehouseiq,2023-10-07,Series B,11208586
co_privacykit,2020-07-14,Seed,2232457
co_privacykit,2023-08-01,Series A,6767543
co_teamcanvas,2020-11-12,Seed,1488304
co_teamcanvas,2023-10-01,Series A,4511696
co_routesage,2013-11-12,Seed,1244044
co_routesage,2016-06-01,Series A,3771236
co_routesage,2018-12-20,Series B,7214890
co_routesage,2021-07-09,Series C,11432250
co_routesage,2024-01-27,Series D,16337580
co_clinicrouter,2014-09-12,Seed,1682389
co_clinicrouter,2017-09-05,Series A,5100051
co_clinicrouter,2020-08-29,Series B,9757095
co_clinicrouter,2023-08-23,Series C,15460464
co_payanchor,2016-02-12,Seed,1710560
co_payanchor,2018-03-21,Series A,5185450
co_payanchor,2020-04-27,Series B,9920474
co_payanchor,2022-06-04,Series C,15719344
co_payanchor,2024-07-11,Series D,22464172
co_orbitlearn,2016-08-12,Seed,1314367
co_orbitlearn,2019-02-12,Series A,3984415
co_orbitlearn,2021-08-14,Series B,7622731
co_orbitlearn,2024-02-14,Series C,12078488
co_sentrymesh,2016-03-13,Seed,1399549
co_sentrymesh,2018-04-14,Series A,4242641
co_sentrymesh,2020-05-15,Series B,8116752
co_sentrymesh,2022-06-16,Series C,12861281
co_sentrymesh,2024-07-17,Series D,18379777
co_devsignal,2018-04-14,Seed,1830947
co_devsignal,2021-01-24,Series A,5550393
co_devsignal,2023-11-06,Series B,10618660
co_smbloan,2014-12-12,Seed,1206415
co_smbloan,2016-11-22,Series A,3657166
co_smbloan,2018-11-03,Series B,6996658
co_smbloan,2020-10-14,Series C,11086453
co_smbloan,2022-09-25,Series D,15843409
co_smbloan,2024-09-05,Series E,21209900
co_seedbed,2019-01-12,Seed,1118912
co_seedbed,2021-07-25,Series A,3391907
co_seedbed,2024-02-05,Series B,6489181
co_civicgrid,2019-10-12,Seed,1424070
co_civicgrid,2022-01-23,Series A,4316972
co_civicgrid,2024-05-06,Series B,8258958
co_routinely,2020-02-12,Seed,1860381
co_routinely,2023-05-17,Series A,5639619
