company_id,company_name,industry,product_type,country,founded_date,outcome,outcome_date,last_observed_date,market_score,scalability_score,company_description,founder_statement,failure_reason
co_legalbot,LegalBot Pro,Legaltech,SaaS,Canada,2019-08-15,failed,2023-10-13,2023-10-13,49,57,SMB legal automation tool in regulated workflows where trust was hard to earn,Customers wanted attorney review for the highest value tasks,Low trust slowed adoption
co_quickhire,QuickHire VR,HR Tech,SaaS,USA,2020-03-15,failed,2023-05-14,2023-05-14,43,61,VR interviewing product launched before customers had budget for new hiring hardware,The workflow created extra setup for recruiters,Market timing and adoption friction were poor
co_nanofarm,NanoFarm Boxes,Agtech,Hardware,Netherlands,2018-04-15,failed,2022-06-13,2022-06-13,37,49,Indoor micro farm appliance with high capex uncertain yields and maintenance needs,The system worked technically but payback periods were too long,Unit economics never reached target
co_socialpulse,SocialPulse,Social,Consumer App,USA,2021-06-15,failed,2023-08-14,2023-08-14,34,68,Consumer social app with celebrity launch weak retention and high moderation cost,The audience arrived in bursts but did not build a durable habit,Retention fell after launch attention faded
co_brickbuy,BrickBuy,Proptech,Marketplace,USA,2015-05-15,failed,2022-07-12,2022-07-12,36,51,Instant home offer marketplace with capital intensive inventory and exposure to housing cycles,We bought homes faster than we could resell when rates moved,Inventory exposure during a rate shock
co_bytebrew,ByteBrew Studio,Gaming,Consumer App,Japan,2016-09-15,failed,2022-11-13,2022-11-13,38,58,Mobile game studio dependent on a single hit title with weak follow-up monetization,Our second title never matched the first launch,Single title dependency and rising user acquisition costs
co_clinicpod,ClinicPod,Healthcare,Hardware,USA,2014-02-15,failed,2021-04-14,2021-04-14,33,47,Telehealth kiosk hardware deployed in pharmacies with low utilization and high service costs,Each kiosk needed a technician within two days when something broke,Utilization stayed below the breakeven line
co_groovenote,GrooveNote,Music,Consumer App,Sweden,2017-11-15,failed,2023-01-13,2023-01-13,42,64,Social music creation app reliant on viral loops with weak creator monetization,Creators came for the trend but left for established tools,Creator retention never reached durable levels
co_routemind,RouteMind,Logistics,SaaS,USA,2013-04-15,failed,2021-06-12,2021-06-12,44,56,Last mile routing software for small carriers competing with free tools from large platforms,Customers told us the free version was good enough,Crowded out by free tooling from large platforms
co_pixelpath,PixelPath AR,AR/VR,Consumer App,USA,2019-09-15,failed,2023-11-13,2023-11-13,37,67,AR shopping overlay reliant on developer adoption and expensive 3D content creation,Brands liked demos but every deployment needed a custom 3D team,3D content production cost killed margins
co_yieldyard,YieldYard,Climate,Hardware,USA,2016-05-15,failed,2022-07-13,2022-07-13,39,49,Distributed solar microgrid installer with regulatory friction and long permitting timelines,Permits varied so much between counties that growth was uneven,Regulatory variation slowed expansion
co_swiftbrief,SwiftBrief,Legaltech,Consumer App,USA,2020-10-15,failed,2023-12-14,2023-12-14,41,60,Consumer legal Q&A app pivoting between subscription and pay-per-use without retention,We changed the pricing four times in two years,Pricing model never settled
co_caretrack,CareTrack Wear,Healthcare,Hardware,USA,2014-06-15,failed,2022-08-12,2022-08-12,40,52,Wearable for chronic disease monitoring with reimbursement uncertainty and clinical evidence gaps,Payers wanted larger studies than our runway allowed,Reimbursement evidence cycle outran capital
co_finlearn,FinLearn,Edtech,Consumer App,USA,2020-04-15,failed,2023-06-14,2023-06-14,36,65,Personal finance learning app with cyclic engagement and weak monetization beyond freemium,Engagement spiked during tax season then disappeared,Engagement was seasonal and monetization was weak
co_ledgerflow,LedgerFlow,Fintech,SaaS,USA,2018-03-15,operating,,2026-05-21,82,86,Revenue automation platform with clear buyer ROI recurring usage and strong retention,Customers expanded usage after the first finance workflow,
co_clinicbridge,ClinicBridge,Healthcare,SaaS,Canada,2017-05-15,operating,,2026-05-21,78,82,Patient coordination software for clinics with measurable admin savings and low churn,The product entered through one department and expanded across sites,
co_shopstack,ShopStack,Ecommerce,SaaS,USA,2016-04-15,operating,,2026-05-21,79,88,Composable checkout tools for merchants with recurring revenue and partner channels,Merchant integrations made the product sticky after onboarding,
co_freightgrid,FreightGrid,Logistics,SaaS,Germany,2017-02-15,operating,,2026-05-21,81,84,Freight planning software that reduces empty miles and integrates with existing systems,Operators adopted it because savings showed up in weekly routing,
co_codeharbor,CodeHarbor,Devtools,SaaS,USA,2019-06-15,operating,,2026-05-21,76,90,Developer workflow platform with bottom up adoption and strong team expansion,Individual developers started free and teams converted for governance,
co_datacove,DataCove,Security,SaaS,UK,2018-09-15,operating,,2026-05-21,84,87,Cloud data security platform with urgent compliance demand and enterprise renewals,Security teams had budget and a clear audit deadline,
co_payatlas,PayAtlas,Fintech,Infrastructure,Singapore,2017-01-15,operating,,2026-05-21,80,89,Payment infrastructure API with high transaction volume and durable platform integrations,Once merchants integrated the API churn was very low,
co_farmops,FarmOps AI,Agtech,SaaS,USA,2020-03-15,operating,,2026-05-21,74,80,Farm operations analytics sold to cooperatives with seasonal ROI and software delivery,The team focused on crop planning workflows with repeat annual budgets,
co_learnloop,LearnLoop,Edtech,SaaS,India,2019-07-15,operating,,2026-05-21,73,82,Learning management software for schools with administrative reporting and renewal contracts,Schools renewed because reporting reduced manual work for teachers,
co_carbonledger,CarbonLedger,Climate,SaaS,Denmark,2018-11-15,operating,,2026-05-21,83,85,Carbon accounting software driven by regulation procurement requirements and audit trails,Compliance pressure created budget and a clear renewal event,
co_talentmap,TalentMap,HR Tech,SaaS,Netherlands,2019-04-15,operating,,2026-05-21,75,83,Workforce planning software for mid market companies with repeat budget cycles,Customers used the planning model every quarter,
co_homecare,HomeCare Hub,Healthcare,Marketplace,USA,2018-05-15,operating,,2026-05-21,77,78,Home care coordination marketplace with vetted supply insurance workflows and repeat demand,The team limited geography until supply quality was reliable,
co_warehouseiq,WarehouseIQ,Robotics,SaaS,Germany,2017-08-15,operating,,2026-05-21,78,81,Warehouse optimization software for robots and workers with limited hardware exposure,The product improved throughput without forcing customers into new equipment,
co_privacykit,PrivacyKit,Martech,SaaS,Canada,2020-02-15,operating,,2026-05-21,76,84,Privacy first analytics platform aligned with consent rules and first party data strategies,Customers bought it because privacy changes made old tooling risky,
co_teamcanvas,TeamCanvas,Collaboration,SaaS,Australia,2020-06-15,operating,,2026-05-21,72,81,Team planning workspace with recurring rituals templates and strong weekly active usage,Usage attached to planning meetings that already happened every week,
co_routesage,RouteSage,Logistics,SaaS,USA,2013-06-15,operating,,2026-05-21,84,86,Long haul carrier dispatch software with measurable fuel savings and multi year contracts,Once dispatchers adopted the screens contracts renewed for years,
co_clinicrouter,ClinicRouter,Healthcare,Infrastructure,USA,2014-04-15,operating,,2026-05-21,79,83,Healthcare data routing infrastructure with HIPAA controls and clear integration points,Hospitals chose it because it slotted into existing EHR plumbing,
co_payanchor,PayAnchor,Fintech,Infrastructure,USA,2015-09-15,operating,,2026-05-21,82,88,Reconciliation infrastructure for marketplaces with high transaction volume and strong defaults,Once a marketplace integrated reconciliation they did not rebuild it,
co_orbitlearn,OrbitLearn,Edtech,SaaS,UK,2016-03-15,operating,,2026-05-21,75,84,Workforce training platform sold to enterprise L&D teams with annual procurement cycles,L&D teams renewed because compliance modules mapped to their audits,
co_sentrymesh,SentryMesh,Security,Infrastructure,Israel,2015-10-15,operating,,2026-05-21,86,88,Cloud workload security platform aligned with compliance frameworks and SOC operations,Customers ran us inside their SOC runbooks within the first quarter,
co_devsignal,DevSignal,Devtools,SaaS,USA,2017-11-15,operating,,2026-05-21,78,89,Engineering productivity analytics with bottom up adoption inside platform teams,Platform teams used the dashboards in their weekly reviews,
co_smbloan,SMBLoan Direct,Fintech,Consumer App,USA,2014-07-15,operating,,2026-05-21,73,79,SMB working capital lender with proprietary underwriting and stable repeat borrowers,Repeat borrowers were the majority of originations by year three,
co_seedbed,Seedbed Agtech,Agtech,SaaS,Brazil,2018-08-15,operating,,2026-05-21,74,80,Crop planning software for large grain farms with measurable yield improvement and renewal cycles,Farms renewed once we showed yield uplift over a full season,
co_civicgrid,CivicGrid,Climate,SaaS,Germany,2019-05-15,operating,,2026-05-21,77,82,Grid optimization software for municipal utilities with regulatory tailwinds and procurement cycles,Utilities adopted us because regulators required the reporting we already built,
co_routinely,Routinely,HR Tech,SaaS,Canada,2019-09-15,operating,,2026-05-21,72,82,Manager workflow software with weekly active usage and durable expansion across teams,Managers used it during one on ones and the habit stuck,
